TIPO_REG;PAIS;P_DEPTO;P_MUNIC;UC_UO;ENCUESTA;COD_VEREDA;COD_PARQUE;PRED_ETNICA;P_S3P9;P_S3P10;P_S3P11;P_S3P12;P_S3P13;P_S3P14;P_S4P15;P_S4P16;SNH;SNM;SN9;P_S4P21;SJH;SJM;SJ9;S05_TENENCIA;P_S5PAUTOS;P_S6P43;P_S6P44;P_S6P52_SPA02;P_S6P52_SPA04;P_S6P52_SPC20;P_S6P52_SPC21;P_S6P52_SPC22;P_S6P52_SP99;P_S6P61_SP1;P_S6P61_SP2;P_S6P61_SP3;P_S6P61_SP4;P_S6P61_SP5;P_S6P61_SP6;P_S6P61_SP7;P_S6P61_SP8;P_S6P61_SP9;P_S6P61_SP10;P_S6P61_SP11;P_S6P62;P_S6P65;P_S6P66;P_S6P67;P_S6P68;P_S6P69_SP1;P_S6P69_SP2;P_S6P69_SP3;P_S6P69_SP4;P_S6P69_SP5;P_S6P69_SP6;P_S6P69_SP7;P_S6P70_SPA02;P_S6P70_SPA04;P_S6P70_SPC20;P_S6P70_SPC21;P_S6P70_SPC22;P_S6P70_SP99;P_S6P71;P_S6P72;P_S6P76_SP1;P_S6P76_SP2;P_S6P76_SP3;P_S6P76_SP4;P_S6P76_SP5;P_S6P76_SP6;P_S6P76_SP7;P_S6P76_SP8;P_S6P77_SP1;P_S6P77_SP2;P_S6P77_SP3;P_S6P77_SP4;P_S6P77_SP5;P_S6P77_SP6;P_S6P77_SP7;P_S6P77_SP8;P_S6P77_SP9;P_S6P77_SP10;P_S6P77_SP11;P_S7P78;P_S7P79_SP1;P_S7P79_SP2;P_S7P79_SP3;P_S7P79_SP4;P_S7P79_SP5;P_S7P79_SP6;P_S7P80_SP1;P_S7P80_SP2;P_S7P80_SP3;P_S7P80_SP4;P_S7P81_SP101;P_S7P81_SP112;P_S7P81_SP99;P_S7P82;P_S7P83A;P_S7P83B;P_S7P83C;P_S7P83D;P_S7P83E;P_S7P83F;P_S7P84A;P_S7P84B;P_S7P84C;P_S7P84D;P_S7P84E;P_S7P84F;P_S7P85B;P_S7P86;P_S7P87_SP1;P_S7P87_SP2;P_S7P87_SP3;P_S7P87_SP4;P_S7P87_SP5;P_S7P88;P_S7P89A;P_S7P89B;P_S7P89C;P_S7P89D;P_S7P89E;P_S7P89F;P_S7P90;P_S7P91_SP1;P_S7P91_SP2;P_S7P91_SP3;P_S7P91_SP4;P_S7P91_SP5;P_S7P92A;P_S7P92B;P_S7P93A;P_S7P93B;P_S7P94;P_S7P95;P_S7P101;P_S7P102A;P_S7P102B;P_S7P102C;P_S7P102D;P_S7P102E;P_S7P102F;P_S7P102G;P_S7P102H;P_S7P102I;P_S7P102J;P_S7P102K;P_S7P102L;P_S7P103_SP1;P_S7P103_SP2;P_S7P103_SP3;P_S7P103_SP4;P_S7P103_SP5;P_S7P104;P_S7P105;P_S7P106A;P_S7P106B;P_S7P106C;P_S7P106D;P_S7P106E;P_S7P106F;P_S7P106G;P_S7P106H;P_S7P106I;P_S7P106J;P_S7P106K;P_S7P106L;P_S7P106M;P_S7P106N;P_S7P106O;P_S7P106P;P_S7P106Q;P_S7P106R;P_S7P106S;P_S7P106T;P_S8P107;P_S8P108_SP1;P_S8P108_SP2;P_S8P108_SP3;P_S8P108_SP4;P_S8P108_SP5;P_S8P108_SP6;P_S8P109;P_S8P110;P_S8P111_SP1;P_S8P111_SP2;P_S8P111_SP3;P_S8P111_SP4;P_S8P112_SP1;P_S8P112_SP2;P_S8P112_SP3;P_S8P112_SP4;P_S8P112_SP5;P_S8P112_SP6;P_S8P112_SP7;P_S8P112_SP8;P_S8P112_SP9;P_S8P112_SP10;P_S8P112_SP11;P_S8P112_SP12;P_S8P112_SP13;P_S8P112_SP14;P_S8P112_SP15;P_S8P112_SP16;P_S8P112_SP17;P_S8P112_SP18;P_S8P113;P_S8P113A;P_S9P117;P_S10P121;P_S11P124_SP1;P_S11P124_SP2;P_S11P124_SP3;P_S11P124_SP4;P_S11P124_SP5;P_S11P124_SP6;P_S11P124_SP7;P_S11P124_SP8;P_S11P124_SP9;P_S11P124_SP10;P_S11P124_SP11;P_S11P125_SP1;P_S11P125_SP2;P_S11P125_SP3;P_S11P125_SP4;P_S11P125_SP5;P_S11P125_SP6;P_S11P125_SP7;P_S11P125_SP8;P_S11P125_SP9;P_S11P125_SP10;P_S11P125_SP11;P_S11P125_SP12;P_S11P126_SP1;P_S11P126_SP2;P_S11P126_SP3;P_S11P126_SP4;P_S11P126_SP5;P_S11P126_SP6;P_S11P126_SP7;P_S11P126_SP8;P_S11P126_SP9;P_S11P127_SP1;P_S11P127_SP2;P_S11P127_SP3;P_S11P127_SP4;P_S11P127_SP5;P_S11P127_SP6;P_S11P127_SP7;P_S11P127_SP8;P_S11P127_SP9;P_S11P127_SP10;P_S11P127_SP11;P_S11P128;P_S11P129_SP1;P_S11P129_SP2;P_S11P129_SP3;P_S11P129_SP4;P_S11P129_SP5;P_S11P129_SP6;P_S11P129_SP7;P_S11P129_SP8;P_S11P129_SP9;P_S11P129_SP10;P_S11P130_SP1;P_S11P130_SP2;P_S11P130_SP3;P_S11P131_SP1;P_S11P131_SP2;P_S11P131_SP3;P_S11P131_SP4;P_S11P131_SP5;P_S11P131_SP6;P_S11P131_SP7;P_S11P131_SP8;P_S11P131_SP9;P_S11P131_SP10;P_S11P131_SP11;P_S11P131_SP12;P_S11P131_SP13;P_S11P131_SP14;P_S11P131_SP15;P_S11P132_SP1;P_S11P132_SP2;P_S11P132_SP3;P_S11P132_SP4;P_S11P132_SP5;P_S11P133_SP1;P_S11P133_SP2;P_S11P133_SP3;P_S11P133_SP4;P_S11P133_SP5;P_S11P133_SP6;P_S11P133_SP7;P_S11P133_SP8;P_S11P133_SP9;P_S11P133_SP10;P_S11P134_SP1;P_S11P134_SP2;P_S11P134_SP3;P_S11P134_SP4;P_S11P134_SP5;P_S11P134_SP6;P_S11P134_SP7;P_S11P135;P_S11P135A_SP1;P_S11P135B1;P_S11P135C1;P_S11P135A_SP2;P_S11P135B2;P_S11P135C2;P_S11P135A_SP3;P_S11P135B3;P_S11P135C3;P_S11P135A_SP4;P_S11P135B4;P_S11P135C4;P_S11P135A_SP5;P_S11P135B5;P_S11P135C5;P_S11P135A_SP6;P_S11P135B6;P_S11P135C6;P_S11P135A_SP7;P_S11P135B7;P_S11P135C7;P_S11P135A_SP8;P_S11P135B8;P_S11P135C8;P_S11P135A_SP9;P_S11P135B9;P_S11P135C9;P_S11P135A_SP10;P_S11P135B10;P_S11P135C10;P_S11P135A_SP11;P_S11P136;P_S11P136A;P_S11P136B_SP1;P_S11P136B_SP2;P_S11P136B_SP3;P_S11P136B_SP4;P_S11P136B_SP5;P_S11P136B_SP6;P_S11P136B_SP7;P_S11P136B_SP8;P_S11P137_SP1;P_S11P137_SP2;P_S11P137_SP3;P_S11P137_SP4;P_S11P137_SP5;P_S11P137_SP6;P_S11P137_SP7;P_S11P137_SP8;P_S11P137_SP10;P_S11P137_SP11;P_S11P138;P_S11P138A;P_S11P138B;P_S11P139;P_S11P139A;P_S11P139B;P_S11P140;P_S11P141;P_S12P142;P_S12P143;P_S12P144;P_S12P145;P_S12P146;P_S12P147;P_S12P148;P_S12P149;P_S12P150A;P_S15P158;P_S15P158A;P_S15P158B;TIPO_UC
1;170;08;08141;01811629;040070061;08141005;;6;2;2;1;1;2;2;1;1;;1;;;;;;1;34524.450908;2;2;;;;;;;;;;;;;;;;;;2;1;31632.911823;2;0;;;;;;;;;;;;;;;2;;;;;;;;1;1;;;;;;;;;;;1;1;0;0;0;0;0;;1;;;1;1;;2;;;;;;;;;;;;;;2;;;;;;;;;;;;;2;;;;;;;;;;2;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;1;;;;;;;;;;1;1;;1;;;1;1;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;;;;;;;;;;;;;;;;;;;1;1;0;0;0;0;0;2;31632.911823;0;0;172.93302496;2718.6060598;0;0;0;34524.450908;0;0;0;1
1;170;08;08141;01812200;040070004;08141005;;6;2;2;1;1;2;2;1;1;1;;;;;;;1;23188.799878;2;2;;;;;;;;;;;;;;;;;;2;1;15669.430714;2;0;;;;;;;;;;;;;;;2;;;;;;;;1;;;;;;;;;;;1;1;;1;;;;;1;1;;;1;;;1;0;0;0;0;0;0;2;0;0;0;2;1;12;2;;;;;;;;;;;;;2;;;;;;;;;;2;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;1;1;;1;;;1;1;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;1;;;;;;1;1;0;0;0;0;0;2;15669.430714;4284.4262065;0;335.1354034;2899.8075535;0;0;0;23188.799878;0;0;0;1
1;170;08;08141;01812550;000032455;08141005;;6;2;2;1;1;2;2;1;1;1;;;;;;;1;24184.571433;2;2;;;;;;;;;;;;;;;;;;2;2;0;1;17897.890089;;;;;;1;;;;1;;;;6;2;;;;;;;;1;1;;;;;;;;;;;1;1;0;1;1;1;0;;;1;;1;1;;1;0;0;0;0;0;0;3;1;0;0;2;1;2;2;;;;;;;;;;;;;2;;;;;;;;;;2;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1;;;;;;;;1;;;;;;;;;;;1;;1;;;;;;;1;;;;;;;;;;1;1;;1;;;1;1;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;;;;;;;;;;;;;;;;;;;1;1;0;0;0;0;2;2;17897.890089;0;0;1191.7195115;5094.9618323;0;0;0;24184.571433;1;0;0;1
1;170;08;08141;01812550;040070006;08141005;;6;2;2;1;1;2;2;1;1;1;;;;;;;1;24184.571433;2;2;;;;;;;;;;;;;;;;;;2;2;0;1;17897.890089;;;;;;1;;;;1;;;;6;2;;;;;;;;1;1;;;;;;;;;;;1;1;0;1;1;1;0;;;1;;1;1;;1;0;0;0;0;0;0;3;1;0;0;2;1;2;2;;;;;;;;;;;;;2;;;;;;;;;;2;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1;;;;;;;;1;;;;;;;;;;;1;;1;;;;;;;1;;;;;;;;;;1;1;;1;;;1;1;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;;;;;;;;;;;;;;;;;;;1;1;0;0;0;0;2;2;17897.890089;0;0;1191.7195115;5094.9618323;0;0;0;24184.571433;1;0;0;1
1;170;08;08141;01812552;040070179;08141005;;6;2;2;1;1;1;2;1;1;1;;;;;;;2;19728.257662;2;2;;;;;;;;;;;;;;;;;;2;1;18075.949613;2;0;;;;;;;;;;;;;;;2;;;;;;;;1;1;;;;;;;;;;;1;1;0;1;1;1;0;;1;;;1;1;;1;2;1;0;0;1;0;5;3;0;0;2;1;3;2;;;;;;;;;;;;;2;;;;;;;;;;2;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;1;1;;1;;;1;1;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;;;;;;;;;;;;;;;;;;;2;2;0;0;0;0;0;2;18075.949613;0;0;98.818871407;1553.489177;0;0;0;19728.257662;0;0;0;1
1;170;08;08141;01813750;040069880;08141005;;6;1;2;1;1;1;2;1;1;1;;;;;;;1;29019.748048;2;2;;;;;;;;;;;;;;;;;;2;2;0;1;22819.165224;;;;;;1;;;;1;;;;6;2;;;;1;;;;;1;;1;;;;;;;;;1;1;;;;;;1;1;;;1;;;1;0;0;0;0;0;0;3;0;0;0;3;2;12;2;;;;;;;;;;;;;2;;;;;;;;;;2;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;1;;1;1;;1;;;1;1;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;;;;;;;;;;;;;;;;;;;1;1;0;0;0;0;2;1;22819.165224;0;0;1004.4258401;5196.1569835;0;0;0;29019.748048;0;0;0;1
1;170;08;08141;01813767;040070003;08141005;;6;1;2;1;1;2;2;1;1;1;;;;;;;1;23251.724684;2;2;;;;;;;;;;;;;;;;;;1;1;16391.206275;2;0;;;;;;;;;;;;;;;2;;;;;;;;1;1;;;;;;;;;;;2;;;;;;;;;;;;;;2;;;;;;;;;;;;;;2;;;;;;;;;;;;;2;;;;;;;;;;2;;1;0;0;0;2;0;1;3;0;0;0;0;0;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;1;1;;1;;;1;1;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;;;;;;;;;;;;;;;;;;;3;3;0;0;0;0;0;2;16391.206275;3792.1168726;0;283.45909532;2784.9424419;0;0;0;23251.724684;0;0;0;1
1;170;08;08141;01814366;040069881;08141005;;7;2;2;2;1;1;2;1;1;1;;;;;;;99;23582.474124;2;2;;;;;;;;;;;;;;;;;;2;1;23582.474124;2;0;;;;;;;;;;;;;;;2;;;;;;;;1;;;1;;;;;;;;;2;;;;;;;;;;;;;;2;;;;;;;;;;;;;;2;;;;;;;;;;;;;2;;;;;;;;;;2;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1;;;;;;;;;;;;;;;;;1;;;;1;;1;;;;;;;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;;;;;;;;;;;;;;;;;;;1;1;0;0;0;0;2;1;23582.474124;0;0;0;0;0;0;0;23582.474124;0;0;0;1
1;170;08;08141;01815009;040070177;08141005;;6;2;2;1;1;1;2;1;1;1;;;;;;;1;29019.748048;2;2;;;;;;;;;;;;;;;;;;2;2;0;1;22819.165224;;;;;;;1;;;1;;;;2;2;;;;;;;;1;1;;;;;;;;;;;1;1;0;1;1;1;0;;;1;;1;1;;1;6;4;0;0;2;2;30;6;0;15;9;11;26;2;;;;;;;;;;;;;2;;;;;;;;;;2;;1;0;0;1;1;0;0;0;0;0;0;0;0;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;1;1;;1;;;1;1;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;1;;;;;;1;1;0;0;0;0;0;2;22819.165224;0;0;1004.4258401;5196.1569835;0;0;0;29019.748048;0;0;0;1
1;170;08;08141;01815135;040070178;08141005;;6;2;2;1;1;1;2;1;1;1;;;;;;;1;19728.257662;2;2;;;;;;;;;;;;;;;;;;2;1;18075.949613;2;0;;;;;;;;;;;;;;;2;;;;;;;;1;;;;;;;;;;;1;1;1;;;;;;;1;;;1;1;;1;1;0;0;0;1;0;4;0;0;2;2;2;25;2;;;;;;;;;;;;;2;;;;;;;;;;2;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;1;1;;1;;;1;1;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;;;;;;;;;;;;;;;;;;;1;1;0;0;0;0;0;2;18075.949613;0;0;98.818871407;1553.489177;0;0;0;19728.257662;0;0;0;1
1;170;08;08141;01815146;000040756;08141005;;6;1;1;1;1;2;2;1;1;1;;;;;;;1;24184.571433;2;2;;;;;;;;;;;;;;;;;;2;2;0;1;17897.890089;;;;;;1;;;;1;;;;6;2;;1;;;;;;;1;;1;;;;;;;;;2;;;;;;;;;;;;;;2;;;;;;;;;;;;;;2;;;;;;;;;;;;;2;;;;;;;;;;2;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1;;;;;;;;;;;;;;;;1;;;;;1;1;;;;;;;;;;;;;;1;;1;1;;1;;;1;1;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;;;;;;;;;;;;;;;;;;;3;3;0;0;0;0;1;1;17897.890089;0;0;1191.7195115;5094.9618323;0;0;0;24184.571433;0;0;0;1
1;170;08;08141;01815146;040069903;08141005;;6;1;1;1;1;2;2;1;1;1;;;;;;;1;24184.571433;2;2;;;;;;;;;;;;;;;;;;2;2;0;1;17897.890089;;;;;;1;;;;1;;;;6;2;;1;;;;;;;1;;1;;;;;;;;;2;;;;;;;;;;;;;;2;;;;;;;;;;;;;;2;;;;;;;;;;;;;2;;;;;;;;;;2;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1;;;;;;;;;;;;;;;;1;;;;;1;1;;;;;;;;;;;;;;1;;1;1;;1;;;1;1;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;;;;;;;;;;;;;;;;;;;3;3;0;0;0;0;1;1;17897.890089;0;0;1191.7195115;5094.9618323;0;0;0;24184.571433;0;0;0;1
1;170;08;08141;01815959;040069887;08141005;;6;2;2;1;1;1;2;1;2;2;;;;;;;1;29019.748048;2;2;;;;;;;;;;;;;;;;;;2;2;0;1;22819.165224;;;;;;1;;;;1;;;;6;2;;;;;;;;1;1;;1;;;;;;;;;1;1;0;1;1;1;0;1;1;;;1;1;;1;2;1;0;0;1;0;4;0;0;0;4;2;5;2;;;;;;;;;;;;;2;;;;;;;;;;2;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;1;;1;1;;1;;;1;1;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;;;;;;;;;;;;;;;;;;;1;1;0;0;0;0;2;1;22819.165224;0;0;1004.4258401;5196.1569835;0;0;0;29019.748048;0;0;0;1
1;170;08;08141;01816343;040070060;08141005;;6;2;2;1;1;1;2;1;1;;1;;;;;;1;24660.322077;2;2;;;;;;;;;;;;;;;;;;2;1;22594.937016;2;0;;;;;;;;;;;;;;;2;;;;;;;;1;1;;;;;;;;;;;1;;1;;;;;1;;;;1;;;1;0;0;0;0;0;0;2;0;0;0;2;1;12;2;;;;;;;;;;;;;2;;;;;;;;;;2;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;1;;;;;;;;;;1;1;;1;;;1;1;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;;;;;;;;;;;;;;;;;;;1;1;0;0;0;0;0;2;22594.937016;0;0;123.52358926;1941.8614713;0;0;0;24660.322077;0;0;0;1
1;170;08;08141;01818397;000032446;08141005;;6;2;2;1;1;2;2;1;1;1;;;;;;;2;24660.322077;2;2;;;;;;;;;;;;;;;;;;2;1;22594.937016;2;0;;;;;;;;;;;;;;;2;;;;;;;;1;1;;;;;;;;;;;1;1;0;1;1;1;0;;1;;;1;1;;1;0;0;0;0;0;0;8;4;0;0;4;2;5;2;;;;;;;;;;;;;2;;;;;;;;;;2;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;1;;;;;;;;;;1;1;;1;;;1;1;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;;;;;;;;;;;;;;;;;;;1;1;0;0;0;0;2;2;22594.937016;0;0;123.52358926;1941.8614713;0;0;0;24660.322077;0;0;0;1
1;170;08;08141;01818397;040070005;08141005;;6;2;2;1;1;2;2;1;1;1;;;;;;;2;24660.322077;2;2;;;;;;;;;;;;;;;;;;2;1;22594.937016;2;0;;;;;;;;;;;;;;;2;;;;;;;;1;1;;;;;;;;;;;1;1;0;1;1;1;0;;1;;;1;1;;1;0;0;0;0;0;0;8;4;0;0;4;2;5;2;;;;;;;;;;;;;2;;;;;;;;;;2;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;1;;;;;;;;;;1;1;;1;;;1;1;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;;;;;;;;;;;;;;;;;;;1;1;0;0;0;0;2;2;22594.937016;0;0;123.52358926;1941.8614713;0;0;0;24660.322077;0;0;0;1
1;170;08;08141;01819251;040069886;08141005;;6;2;2;1;1;2;2;1;1;1;;;;;;;1;29019.748048;2;2;;;;;;;;;;;;;;;;;;2;2;0;1;22819.165224;;;;;;1;;;;1;;;;6;2;;;;;;;;1;1;;;;;;;;;;;2;;;;;;;;;;;;;;2;;;;;;;;;;;;;;2;;;;;;;;;;;;;2;;;;;;;;;;2;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;1;;1;1;;1;;;1;1;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;;;;;;;;;;;;;;;;;;;1;1;0;0;0;0;3;1;22819.165224;0;0;1004.4258401;5196.1569835;0;0;0;29019.748048;0;0;0;1
1;170;08;08141;01819786;040069882;08141005;;6;2;2;1;1;1;2;1;1;1;;;;;;;1;24184.571433;2;2;;;;;;;;;;;;;;;;;;2;2;0;1;17897.890089;;;;;;1;;;;1;;;;6;2;;;;;;;;1;1;;1;;;;;;;;;1;1;0;1;1;1;0;;1;;;1;1;;1;2;0;1;1;0;0;3;0;0;0;3;2;2;2;;;;;;;;;;;;;2;;;;;;;;;;2;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;1;;1;1;;1;;;1;1;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;;;;;;;;;;;;;;;;;;;1;1;0;0;0;0;2;1;17897.890089;0;0;1191.7195115;5094.9618323;0;0;0;24184.571433;0;0;0;1
1;170;08;08141;01830001;000032448;08141005;;6;2;2;1;1;1;2;1;1;1;;;;;;;1;250148.98263;2;2;;;;;;;;;;;;;;;;;;2;2;0;1;194991.92134;1;;;;;1;;;;1;;;;6;2;;1;;;;;;;1;;1;;;;;;;;;1;1;0;1;1;1;0;1;;;;1;1;;1;1;1;0;0;0;0;164;0;0;163;1;80;160;2;;;;;;;;;;;;;2;;;;;;;;;;2;;1;0;0;0;1;1;0;0;0;0;1;0;0;;;;;1;1;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;1;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;1;1;;1;;;1;1;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;1;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;;;;;;;;;;;;;;;;;;;1;1;0;0;0;0;0;2;194991.92134;0;0;9185.9298622;45929.222916;41.908514264;0;0;250148.98263;1;0;0;1
1;170;08;08141;01830001;040070008;08141005;;6;2;2;1;1;1;2;1;1;1;;;;;;;1;250148.98263;2;2;;;;;;;;;;;;;;;;;;2;2;0;1;194991.92134;1;;;;;1;;;;1;;;;6;2;;1;;;;;;;1;;1;;;;;;;;;1;1;0;1;1;1;0;1;;;;1;1;;1;1;1;0;0;0;0;164;0;0;163;1;80;160;2;;;;;;;;;;;;;2;;;;;;;;;;2;;1;0;0;0;1;1;0;0;0;0;1;0;0;;;;;1;1;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;1;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;1;1;;1;;;1;1;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;1;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;;;;;;;;;;;;;;;;;;;1;1;0;0;0;0;0;2;194991.92134;0;0;9185.9298622;45929.222916;41.908514264;0;0;250148.98263;1;0;0;1
